City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,micheweni,-4.9667,39.8333,39.8333,73,0,4.52,TZ,1722819068
81,la ronge,55.1001,-105.2842,-105.2842,35,100,2.06,CA,1722819069
82,smithers,54.7804,-127.1743,-127.1743,20,20,4.63,CA,1722819070
83,tolanaro,-25.0319,46.9987,46.9987,82,20,1.03,MG,1722819071
84,poronaysk,49.2167,143.1167,143.1167,80,100,1.19,RU,1722819073
85,linxia chengguanzhen,35.6003,103.2064,103.2064,54,10,1.57,CN,1722819074
86,punta arenas,-53.15,-70.9167,-70.9167,93,75,1.03,CL,1722818907
87,fort bragg,35.139,-79.006,-79.006,91,20,1.54,US,1722818968
88,afaahiti,-17.75,-149.2833,-149.2833,74,6,5.05,PF,1722819035
89,enewetak,11.3474,162.3373,162.3373,76,100,4.11,MH,1722818917
90,muttupet,10.4,79.4833,79.4833,75,13,3.43,IN,1722819080
91,mwatate,-3.5029,38.3795,38.3795,82,99,3.4,KE,1722819081
92,saipan,15.1355,145.701,145.701,79,20,6.69,MP,1722818937
93,tarawa,1.419,172.984,172.984,66,20,3.6,KI,1722819083
94,papatowai,-46.5619,169.4708,169.4708,62,12,2.17,NZ,1722819086
95,vorgashor,67.5833,63.95,63.95,65,57,5.03,RU,1722819087
96,longyearbyen,78.2186,15.6401,15.6401,87,40,4.63,SJ,1722819088
97,port mathurin,-19.6833,63.4167,63.4167,73,5,6.41,MU,1722819039
98,atafu village,-8.5421,-172.5159,-172.5159,80,100,5.29,TK,1722818828
99,whitehorse,60.7161,-135.0538,-135.0538,29,20,1.03,CA,1722819092
100,touros,-5.1989,-35.4608,-35.4608,82,16,5.36,BR,1722818983
101,isafjordur,66.0755,-23.124,-23.124,85,100,8.09,IS,1722818923
102,corsano,39.8892,18.3693,18.3693,66,10,4.71,IT,1722819097
103,alofi,-19.0595,-169.9187,-169.9187,78,75,5.14,NU,1722818991
104,stanley,54.868,-1.6985,-1.6985,92,40,3.09,GB,1722819099
105,hermanus,-34.4187,19.2345,19.2345,67,70,8.16,ZA,1722819100
106,qaqortoq,60.7167,-46.0333,-46.0333,80,0,2.74,GL,1722818929
107,dunedin,-45.8742,170.5036,170.5036,58,9,1.63,NZ,1722819102
108,bikenibeu village,1.3673,173.1241,173.1241,66,20,3.6,KI,1722819104
109,mount gambier,-37.8333,140.7667,140.7667,52,8,1.54,AU,1722819105
110,mount isa,-20.7333,139.5,139.5,43,25,3.09,AU,1722819106
111,puerto deseado,-47.7503,-65.8938,-65.8938,95,95,4.79,AR,1722818894
112,nabire,-3.3667,135.4833,135.4833,82,100,1.19,ID,1722818829
113,saynshand,44.8824,110.1163,110.1163,32,0,3.8,MN,1722819110
114,ciudad lazaro cardenas,17.9583,-102.2,-102.2,80,100,3.48,MX,1722819112
115,harstad,68.799,16.5293,16.5293,73,11,1.8,NO,1722819113
116,kurumkan,54.3,110.3,110.3,54,2,0.93,RU,1722819017
117,ar ruseris,11.8659,34.3869,34.3869,89,98,2.31,SD,1722819116
118,colonia,50.9333,6.95,6.95,83,97,1.57,DE,1722819002
119,badger,64.8,-147.5333,-147.5333,53,0,2.06,US,1722819118
120,nyakabindi,-2.6333,33.9833,33.9833,41,89,2.67,TZ,1722819119
121,dryden,49.7833,-92.7503,-92.7503,55,75,2.06,CA,1722819121
122,daru,-9.0763,143.2092,143.2092,83,87,6.2,PG,1722819122
123,portland,45.5234,-122.6762,-122.6762,35,40,4.63,US,1722818576
124,vrede,-27.4257,29.1659,29.1659,29,99,2.01,ZA,1722819124
125,remire-montjoly,4.9167,-52.2667,-52.2667,89,0,1.03,GF,1722819021
126,pelotas,-31.7719,-52.3425,-52.3425,96,75,3.09,BR,1722819031
127,quelimane,-17.8786,36.8883,36.8883,93,0,1.03,MZ,1722819057
128,yuzhno-kurilsk,44.0306,145.8556,145.8556,99,100,2.3,RU,1722819129
129,priozersk,61.0393,30.1291,30.1291,91,55,2.07,RU,1722819130
130,walvis bay,-22.9575,14.5053,14.5053,79,2,6.04,NA,1722819133
131,ta`u,-14.2336,-169.5144,-169.5144,64,100,1.9,AS,1722819134
132,marconia,40.3628,16.6876,16.6876,69,20,2.94,IT,1722819135
133,essaouira,31.5125,-9.77,-9.77,88,0,2.06,MA,1722819136
134,st. john's,47.5649,-52.7093,-52.7093,95,75,6.69,CA,1722818717
135,likasi,-10.9814,26.7333,26.7333,30,0,1.29,CD,1722819139
136,crane,31.3974,-102.3501,-102.3501,31,84,7.97,US,1722819104
137,vikulovo,56.8167,70.6107,70.6107,94,76,1.74,RU,1722819141
138,laojunmiao,39.8333,97.7333,97.7333,17,95,0.86,CN,1722819142
139,reggane,26.7158,0.1714,0.1714,10,54,3.7,DZ,1722819144
140,el bauga,18.262,33.9081,33.9081,53,100,3.84,SD,1722819145
141,cascais,38.6979,-9.4215,-9.4215,76,0,6.71,PT,1722819146
142,port elizabeth,-33.918,25.5701,25.5701,57,0,7.72,ZA,1722818991
143,laguna,38.421,-121.4238,-121.4238,19,0,6.17,US,1722819148
144,shalqar,47.8333,59.6,59.6,35,96,2.8,KZ,1722819150
145,ghat,24.9647,10.1728,10.1728,13,0,1.77,LY,1722819151
146,ati,13.2154,18.3353,18.3353,91,100,4.71,TD,1722819152
147,flying fish cove,-10.4217,105.6791,105.6791,88,75,3.6,CX,1722818862
148,iskateley,67.6803,53.1512,53.1512,74,89,6.33,RU,1722819154
149,coquimbo,-29.9533,-71.3436,-71.3436,73,75,2.06,CL,1722819156
150,chonchi,-42.6128,-73.8092,-73.8092,98,100,2.41,CL,1722819157
151,queenstown,-31.8976,26.8753,26.8753,81,68,2.52,ZA,1722819158
152,bilibino,68.0546,166.4372,166.4372,58,100,3.74,RU,1722819159
153,uglegorsk,49.0833,142.0333,142.0333,61,51,2.04,RU,1722819160
154,lago da pedra,-4.3333,-45.1667,-45.1667,41,0,1.66,BR,1722819136
155,chui,-33.6971,-53.4616,-53.4616,84,100,2.31,UY,1722819164
156,naze,28.3667,129.4833,129.4833,72,15,6.71,JP,1722819155
157,primorskiy,43.0983,131.5875,131.5875,93,100,5.65,RU,1722819166
158,aldinga beach,-35.2793,138.4604,138.4604,78,99,2.43,AU,1722819168
159,sinop,41.7711,34.8709,34.8709,55,42,1.04,TR,1722819066
160,el porvenir,13.7617,-87.3458,-87.3458,91,100,1.34,HN,1722819170
161,maxixe,-23.8597,35.3472,35.3472,77,54,4.92,MZ,1722819171
162,port sudan,19.6175,37.2164,37.2164,52,100,4.62,SD,1722819172
163,orumiyeh,37.5527,45.0761,45.0761,52,0,3.09,IR,1722819174
164,madalena,41.2162,-8.3345,-8.3345,86,0,0.85,PT,1722819175
165,nuriootpa,-34.4833,139.0,139.0,69,91,1.22,AU,1722819176
166,badiyah,22.45,58.8,58.8,56,100,1.76,OM,1722819177
167,margaret river,-33.95,115.0667,115.0667,78,98,6.85,AU,1722819179
168,waddan,29.1614,16.139,16.139,27,0,4.87,LY,1722819180
